# source_term,target_term
Nonviolent Communication,非暴力沟通
NVC,NVC（非暴力沟通）
compassionate communication,同理沟通
observation,观察
observations,观察
feeling,感受
feelings,感受
need,需要
needs,需要
request,请求
requests,请求
self-empathy,自我同理
empathy,同理心
self-awareness,自我觉察
inner growth,内在成长
inner child,内在小孩
trigger,触发点
triggers,触发点
boundary,边界
boundaries,边界
vulnerability,脆弱
authenticity,真实
mindfulness,正念
compassion,慈悲
self-compassion,自我慈悲
connection,连接
disconnection,失联
shame,羞耻感
guilt,内疚
anger,愤怒
gratitude,感恩
conflict,冲突
reconciliation,和解
intimacy,亲密
partnership,亲密关系
giraffe language,长颈鹿语言
jackal language,豺狗语言
